#{"t_start": 1630877332.1656427, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.707557
0.0,1,1.708997
0.552632,3,1.712666
0.0,1,1.713876
0.0,1,1.714987
0.0,1,1.715975
0.0,1,1.71711
0.0,1,1.718405
0.0,1,1.719543
0.0,1,1.721167
0.0,1,1.722412
-0.065789,2,1.724542
0.0,1,1.72611
0.552632,3,1.729903
0.552632,3,1.734078
0.0,1,1.735518
0.0,1,1.737559
0.0,1,1.739029
0.0,1,1.740517
0.0,1,1.741972
0.0,1,1.743043
0.0,1,1.744206
-0.065789,2,1.746773
0.0,1,1.748197
0.0,1,1.749152
0.0,1,1.750264
0.0,1,1.75133
0.0,1,1.752389
0.0,1,1.754053
0.0,1,1.755274
0.0,1,1.756376
0.0,1,1.757459
0.0,1,1.758504
0.0,1,1.759735
0.0,1,1.760903
-0.197368,4,1.76667
0.0,1,1.76808
0.0,1,1.769443
0.0,1,1.771728
0.0,1,1.773211
0.0,1,1.774602
0.0,1,1.775697
0.0,1,1.776868
0.0,1,1.777907
0.0,1,1.779025
0.0,1,1.780214
-0.131579,3,1.783756
0.0,1,1.784801
0.0,1,1.785796
0.0,1,1.787382
0.0,1,1.789073
0.0,1,1.790463
-0.065789,2,1.793309
0.0,1,1.794601
0.276316,2,1.796781
0.0,1,1.797963
0.0,1,1.798928
0.0,1,1.800032
0.0,1,1.801068
0.276316,2,1.803962
0.0,1,1.805391
0.0,1,1.806451
0.0,1,1.807743
0.0,1,1.808893
0.276316,2,1.810909
0.0,1,1.812109
0.0,1,1.813336
0.0,1,1.814512
0.552632,3,1.817563
0.0,1,1.818591
0.0,1,1.819637
0.0,1,1.82138
0.0,1,1.822579
0.0,1,1.823629
0.486842,4,1.827678
0.276316,2,1.830045
0.0,1,1.8311
0.276316,2,1.833129
0.0,1,1.834131
0.144737,4,1.839159
0.0,1,1.840167
0.0,1,1.841215
0.0,1,1.842285
0.0,1,1.843311
0.552632,3,1.846539
0.0,1,1.847548
0.631579,3,1.850396
0.0,1,1.851374
0.0,1,1.85236
0.0,1,1.853689
0.276316,2,1.856312
-0.065789,2,1.858246
0.276316,2,1.860325
0.0,1,1.861361
0.0,1,1.862435
0.0,1,1.863782
0.0,1,1.864828
0.0,1,1.865886
0.0,1,1.866899
0.0,1,1.867902
-0.065789,2,1.870413
0.0,1,1.871775
0.0,1,1.872764
0.0,1,1.873788
0.0,1,1.874809
-0.065789,2,1.876938
-0.065789,2,1.879103
0.0,1,1.880224
0.0,1,1.881292
0.0,1,1.882397
0.0,1,1.883406
0.0,1,1.884388
0.0,1,1.885414
0.0,1,1.886415
0.0,1,1.888283
-0.065789,2,1.890386
0.0,1,1.891354
-0.065789,2,1.893393
0.0,1,1.894448
0.0,1,1.895533
0.0,1,1.896747
0.276316,2,1.898964
0.276316,2,1.901092
0.0,1,1.90222
0.276316,2,1.905649
0.0,1,1.907164
0.0,1,1.908612
0.0,1,1.910065
0.276316,2,1.913086
0.0,1,1.914679
0.0,1,1.916434
0.0,1,1.918307
0.0,1,1.920531
0.0,1,1.921908
0.276316,2,1.924088
0.0,1,1.925208
0.0,1,1.926282
-0.065789,2,1.92843
0.0,1,1.929602
0.0,1,1.930684
0.0,1,1.931779
0.0,1,1.932801
0.0,1,1.933873
0.0,1,1.934932
0.0,1,1.935961
0.0,1,1.937734
-0.065789,2,1.939942
0.0,1,1.940952
0.0,1,1.941957
0.0,1,1.943007
0.0,1,1.944046
0.0,1,1.945082
0.0,1,1.94628
0.0,1,1.947308
0.0,1,1.948398
0.0,1,1.949403
0.0,1,1.950441
0.0,1,1.951421
0.0,1,1.952451
0.0,1,1.954267
0.0,1,1.956132
0.0,1,1.957892
0.0,1,1.959548
0.0,1,1.961256
0.0,1,1.962923
0.276316,2,1.965199
-0.065789,2,1.967317
0.0,1,1.968276
0.0,1,1.969304
0.631579,3,1.973259
0.0,1,1.974238
0.0,1,1.975201
0.0,1,1.976229
-0.065789,2,1.978168
0.0,1,1.979162
0.0,1,1.980215
0.0,1,1.981197
0.0,1,1.982219
0.276316,2,1.984241
0.0,1,1.985235
0.0,1,1.986271
0.0,1,1.987828
-0.065789,2,1.990051
0.0,1,1.990978
0.276316,2,1.992944
0.0,1,1.99396
0.0,1,1.994955
0.0,1,1.995963
0.0,1,1.997049
0.0,1,1.99806
0.276316,2,2.000026
0.0,1,2.001086
0.0,1,2.002112
0.276316,2,2.00462
0.0,1,2.005819
0.0,1,2.006828
